X,Y,FID,PERMITID,TYPE,DECISION,LIQUOR_TYP,ISSUEDATE,EXPIRE_YEA,EXPIRE_DAT,ESTABLISHM,ESTABLIS_1,ESTABLIS_2,ESTABLIS_3,ESTABLIS_4,TYPE_DESCR,LastUpdate,WGS_X,WGS_Y,APN
-93.28767464,44.96295478,391,565108,L235,APPROVED,ON Sale,4/25/2014,2015,4/1/2015,131645,RUDOLPHS BAR B-QUE,1933 Lyndale Ave S,NULL,S,LIQ ON-SALE C-1 W/SS SERIES 2000,57:05.8,-10384736.44,5615691.359,2.70E+12
-93.24898544,44.99927546,392,1488829,L237,APPROVED,ON Sale,8/1/2014,2015,7/1/2015,158947,CREATE CATERING & CONSULTIN,1121 Jackson St NE 145,145,NE,LIQ ON-SALE C-1 W/SS SERIES 3000,57:16.8,-10380429.58,5621407.422,1.40E+12
-93.26186305,45.00323482,393,563769,L190,APPROVED,ON Sale,4/25/2014,2015,4/1/2015,130329,KNIGHT CAP,1500 4th St NE,NULL,NE,LIQ ON-SALE B W/SS SERIES 2000,57:05.8,-10381863.1,5622030.757,1.40E+12
-93.26182846,45.00285022,394,1231008,L200,APPROVED,ON Sale,8/1/2014,2015,7/1/2015,3445,MAYSLACKS POLKA LOUNGE,1428 4th St NE,NULL,NE,LIQ ON-SALE B W/SS SERIES 3000,56:57.6,-10381859.25,5621970.206,1.40E+12
-93.27738187,44.96880858,395,563657,L186,PENDING,ON Sale,2/22/2014,2016,1/1/2016,130221,PINGS SZECHUAN BAR & GRILL,1401 Nicollet Ave,NULL,NULL,LIQ ON-SALE E W/SS SERIES 1000,03:31.9,-10383590.65,5616612.371,2.70E+12
-93.26351015,45.00401693,396,838946,L180,APPROVED,ON Sale,1/23/2014,2015,1/1/2015,130293,SHAWS BAR & GRILL,1528 University Ave NE,NULL,NE,LIQ ON-SALE B W/SS SERIES 1000,56:35.8,-10382046.46,5622153.892,1.40E+12
-93.27472247,44.96752178,397,563676,L188,APPROVED,ON Sale,4/25/2014,2015,4/1/2015,130240,KELBER CATERING,1301 2nd Ave S,NULL,S,LIQ ON-SALE A W/SS SERIES 2000,57:05.8,-10383294.61,5616409.904,2.70E+12
-93.26639125,45.00111671,398,1559172,L212,APPROVED,ON Sale,10/3/2014,2015,10/1/2015,171315,DANGEROUS MAN BREWING COMPANY,1300 2nd St NE,NULL,NE,LIQ ON-SALE C-2 W/SS SERIES 4000,57:40.9,-10382367.18,5621697.291,1.40E+12
-93.26346582,45.00139306,399,1125557,L235,APPROVED,ON Sale,4/25/2014,2015,4/1/2015,137289,ERTE & PEACOCK LOUNGE AT ERTE,1304 University Ave NE,NULL,NE,LIQ ON-SALE C-1 W/SS SERIES 2000,57:05.8,-10382041.52,5621740.798,1.40E+12
-93.2775227,44.96424531,400,1521757,L180,PENDING,ON Sale,1/23/2014,2016,1/1/2016,170631,TIBET KITCHEN BAR & RESTAURANT,1833 Nicollet Ave,NULL,NULL,LIQ ON-SALE B W/SS SERIES 1000,01:45.5,-10383606.33,5615894.397,2.70E+12
-93.26268894,45.00122741,401,1487807,L206,APPROVED,ON Sale,8/1/2014,2015,7/1/2015,131876,MODERN CAFE,337 13th Ave NE,NULL,NE,LIQ ON-SALE E W/SS SERIES 3000,56:57.6,-10381955.04,5621714.72,1.40E+12
-93.27743535,44.96283875,402,1633694,L244,APPROVED,ON Sale,2/7/2014,2015,4/1/2015,169397,THE NICOLLET,1931 Nicollet Ave,NULL,NULL,WINE C-1 W/STRONG BEER,56:21.5,-10383596.61,5615673.104,2.70E+12
-93.26285661,45.00122789,403,1256050,L178,PENDING,ON Sale,1/23/2014,2016,1/1/2016,130572,331 CLUB,331 13th Ave NE,NULL,NE,LIQ ON-SALE A W/SS SERIES 1000,02:25.9,-10381973.71,5621714.795,1.40E+12
