X,Y,FID,PERMITID,TYPE,DECISION,LIQUOR_TYP,ISSUEDATE,EXPIRE_YEA,EXPIRE_DAT,ESTABLISHM,ESTABLIS_1,ESTABLIS_2,ESTABLIS_3,ESTABLIS_4,TYPE_DESCR,LastUpdate,WGS_X,WGS_Y,APN
-93.226799680322316,44.973343367961938,496,1398720,L247,APPROVED,ON Sale,2014-04-25 00:00:00.000,2015,2015-04-01 00:00:00.000,166526,PUNCH NEAPOLITAN PIZZA,802 Washington Ave SE,NULL,SE,WINE E W/STRONG BEER,2014-04-17 00:57:05.820,-10377959.8687,5617325.9208,3002923230000
-93.293526639339703,44.960542126830148,497,1047751,L247,APPROVED,ON Sale,2014-04-25 00:00:00.000,2015,2015-04-01 00:00:00.000,131837,DAMICO & SONS,2210 Hennepin Ave,NULL,NULL,WINE E W/STRONG BEER,2014-04-17 00:57:05.820,-10385387.8798,5615311.7891,3302924120190
-93.277767523056497,44.904948178725192,498,1479429,L246,APPROVED,ON Sale,2014-04-25 00:00:00.000,2015,2015-04-01 00:00:00.000,170419,TANGLETOWNS WISE ACRE EATERY,5401 Nicollet Ave,NULL,NULL,WINE D W/STRONG BEER,2014-04-17 00:57:05.820,-10383633.583,5606569.9141,2202824120030
-93.226463598116652,44.973252992123946,499,1560652,L247,APPROVED,ON Sale,2014-04-25 00:00:00.000,2015,2015-04-01 00:00:00.000,171298,NOODLES & COMPANY,820 Washington Ave SE,NULL,SE,WINE E W/STRONG BEER,2014-04-17 00:57:05.820,-10377922.4562,5617311.6996,3002923230010
-93.294799046345801,44.95758799681137,500,1325767,L206,APPROVED,ON Sale,2014-08-01 00:00:00.000,2015,2015-07-01 00:00:00.000,162557,RINATA,2451 Hennepin Ave,NULL,NULL,LIQ ON-SALE E W/SS SERIES 3000,2014-07-10 00:56:57.643,-10385529.5235,5614847.0537,3302924130000
-93.278503804721225,44.892645519067564,501,563621,L186,PENDING,ON Sale,2014-01-23 00:00:00.000,2016,2016-01-01 00:00:00.000,130186,CINTIAS,6042 Nicollet Ave,NULL,NULL,LIQ ON-SALE E W/SS SERIES 1000,2014-12-02 01:02:53.443,-10383715.5455,5604636.5241,2202824340020
-93.219488959673129,44.971987419287551,502,1526104,L180,PENDING,ON Sale,2014-01-23 00:00:00.000,2016,2016-01-01 00:00:00.000,170690,PROFILE EVENT CENTER,2630 University Ave SE,NULL,SE,LIQ ON-SALE B W/SS SERIES 1000,2014-11-21 00:56:49.010,-10377146.043,5617112.5562,3002923240030
-93.296240188403289,44.956901969867388,503,1534526,L196,APPROVED,ON Sale,2014-04-25 00:00:00.000,2015,2015-04-01 00:00:00.000,145171,NAMASTE CAFE,2512 Hennepin Ave,NULL,NULL,LIQ ON-SALE E W/SS SERIES 2000,2014-04-17 00:57:05.820,-10385689.9507,5614739.1333,3302924130090
-93.274332875653101,44.98958531578748,504,1489059,L242,APPROVED,ON Sale,2014-04-25 00:00:00.000,2015,2015-04-01 00:00:00.000,170040,LAB THEATER,700 1st St N,NULL,N,WINE A W/STRONG BEER,2014-04-17 00:57:05.820,-10383251.2398,5619882.0563,2202924120000
-93.219829829899268,44.973483193106581,505,1678323,L192,APPROVED,ON Sale,2014-10-31 00:00:00.000,2014,2014-12-28 00:00:00.000,170633,THE HOLE SPORTS LOUNGE,2501 University Ave SE,NULL,SE,LIQ ON-SALE C-2 W/SS SERIES 2000,2014-10-24 00:57:19.923,-10377183.9885,5617347.9232,3002923240060
-93.219829829899268,44.973483193106581,506,1543534,L192,APPROVED,ON Sale,2014-04-25 00:00:00.000,2015,2015-04-01 00:00:00.000,170633,THE HOLE SPORTS LOUNGE,2501 University Ave SE,NULL,SE,LIQ ON-SALE C-2 W/SS SERIES 2000,2014-04-17 00:57:05.820,-10377183.9885,5617347.9232,3002923240060
-93.277717205722482,44.988724491004312,507,1579965,L214,APPROVED,ON Sale,2014-10-31 00:00:00.000,2015,2015-10-01 00:00:00.000,171691,BOROUGH,730 Washington Ave N 114/B02,114/B02,N,LIQ ON-SALE D W/SS SERIES 4000,2014-10-24 00:57:19.923,-10383627.9817,5619746.5627,2202924120020
