lic_no,patron_nm,descr,eff_date,exp_date,descr,work_phn_no,dba_nm,compute_0009,compute_0010,long_descr
20100003233,MOLTO INC,Wine On Sale ,10/14/2010 00:00:00,7/1/2016 00:00:00,Active            ,6516902102,SCUSI,1806 ST CLAIR AVE ,"ST PAUL, MN 55105-1936","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
20140000989,ORTEGA ENTERPRISES LLC,Wine On Sale ,8/4/2014 00:00:00,3/27/2016 00:00:00,Active            ,6125813335,SENOR SOL MEXICAN GRILLE,990 PAYNE AVE,"ST PAUL, MN 55130","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
20110002920,SMASHBURGER ACQUISITION-MINNEAPOLIS LLC,Wine On Sale ,10/28/2011 00:00:00,6/10/2016 00:00:00,Active            ,6513157959,SMASHBURGER,2138 FORD PKWY ,"ST PAUL, MN 55116-1863","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
20040004952,SNELLING CAFE INC,Wine On Sale ,11/17/2006 00:00:00,10/31/2015 00:00:00,Active Pending Ren,6516441933,SNELLING CAFE,638 SNELLING AVE N ,"ST PAUL, MN 55104-1834","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
19980001653,KYONG YE FIRNSTAHL,Wine On Sale ,3/21/1998 00:00:00,9/30/2016 00:00:00,Active Pending Ren,6516442068,SOLE CAFE,684 SNELLING AVE N ,"ST PAUL, MN 55104-1840","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
0091997,ST CATHERINE UNIVERSITY,Wine On Sale ,9/1/1994 00:00:00,6/1/2016 00:00:00,Active            ,6516906043,ST CATHERINE UNIVERSITY SPECIAL SERVICES,2004 RANDOLPH AVE ,"ST PAUL, MN 55105-1750","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
20060003758,SNELLCLAIR INC,Wine On Sale ,1/15/2007 00:00:00,1/15/2016 00:00:00,Active            ,6516987055,ST CLAIR BROILER,1580 ST CLAIR AVE ,"ST PAUL, MN 55105-1930","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
20070000871,CRYING TIGER LLC,Wine On Sale ,11/27/2007 00:00:00,11/27/2015 00:00:00,Active Pending Ren,6512225859,SUPATRA'S THAI CUISINE,967 7TH ST W ,"ST PAUL, MN 55102-3519","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
20030001150,TANPOPO NOODLE SHOP INC,Wine On Sale ,4/25/2003 00:00:00,11/28/2015 00:00:00,Active Pending Ren,6512096527,TANPOPO NOODLE SHOP,308 PRINCE ST 140,"ST PAUL, MN 55101","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
20050000403,TAQUERIA LOS PAISANOS LLC,Wine On Sale ,9/27/2010 00:00:00,8/23/2016 00:00:00,Active            ,6517788062,TAQUERIA LOS PAISANOS,825 7TH ST E ,"ST PAUL, MN 55106-4515","LC409 -  License authorizing the sale of wine not exceeding fourteen (14) percent alcohol by volume, for consumption on the licensed premises only, in conjunction with the sale of food."
